json_id	json_number	all_conll	train	test	dev	sent
120099650651963392  2011-10-01T11:36:02	273	392	292			RT @SayingsForGirls : He's cute . He's fine . He's everything but mine .
120504266749263873	274	333	233			RT @taylorswift13 : I got to say ' peace up , A-town down ' in atlanta then @UsherRaymondIV came out and sang ' Yeah!' with me . I'm thinking ...
120876456661352448	275					Big East CEOs OK commish to pursue expansion : The presidents and chancellors of the 14 remaining Big East member ... http://t.co/a7czSlGV
121042752573161472	276					Lmfaooooooo !!!!! I am so done with u !!!!!! RT @ShayIzKilla : @Loveissii no Pad Thai u need breast implants !!!! Lmao
121609252023443456	277	334	234			I uploaded a @YouTube video http://t.co/DMqaU4vJ paris . flv
122013792543571968	278	335	235			@evalina_eva RT @girlsdeals : One day I hope you look back at what we had , and regret every single thing you did to let it end .
122114208228851712	279	336	236			this history paper is gay af . who needs creative writting for histroy
122633941470560256	280	337	237			RT @HarryAndNiall1D : Sami Brookes Glamour Shot ! http://t.co/MW4wCNZx
125439808997818369	288					@TyeTyeee exactly ugh
126015838020042752	289	357	257			@BenmStanley 4 pages to be precise
126118187292041216	290	358	258			Reading and tweeting ( 99% tweeting , . 5% reading , . 5% wanting to fall asleep )
126731222822039553	291	359	259			I swear lately ive been making the wrong choices
127065877815361537	292	360	260			I'm a super hero in my own right . Actually ... Anti Hero more like .
127248586055483392	293	361	261			A nice fluffy pillow sounds great
127893250399932416	294					@ily_Boobie lol ok
128202202870329345	295	362	262			RT @jaxlively : !!! RT @Cooliomandingo : Homework blows tf outta my day .
128284067157393408	296	363	263			Glad some network picked up #AmericasMostWanted . @lifetimetv
128971836666019841	297	364	264			RT @kerriewanted1D : @Leaah_TW this park is the cutest thing ever omg http://t.co/2RNYQ4NZ
129299625550168064	298					@DamiraBasimah okaay ,
129649527262158848	299					i really want a pet gremlin like seriously they are so cute and i promise i wont feed it after midnight ? :')
129885758680076288	300					@ffionface dye our tanyas hair plz !?
130148783668469760	301					" It is an honor for a man to cease from strife … " (Proverbs 20:3 , AMP )
130639139501637632	302					RT @OurTeenFacts : Don't start when you know in the end you will be the one to say sorry .
130988042914770944	303					Punkin I carved in 1st period . (: http://t.co/r7Xx7Wba
131174387540951040	304					“ @iGotDA_BODY Lived In Memphis My Whole Life , And Ian Never Been To Voodoo Village ! ”
131607298140422145	305	321	221			keep it #Gangsta
132135927563816960	306					In & out in less than a half hour , thank you Jesus !
132593093869453313	307					@UglyNipplesTho awh shit ! my po babie ... you good now ?!
132869066523291649	308					Since football seasons over what should i do ...
133105084329500672	309					@roseofhurlo OK . Tomorrow you take the 5.30 shift . I'll get up at 7 for some ruthless editing .
133360034892623872	310					Lol , this kid ...
133912194193698817	311					" Logic will get you from A to B . Imagination will take you everywhere . " - Albert Einstein . [ http://t.co/H2DrUdVX ] #tech #beupdate
134146072514801664	312					RT @run4pasigriver : @yengunplugged Hi . Pls help us RT @ABSCBNStore are selling limited edition ( cont ) http://t.co/0ZGUrQdr
134430442437877762	313					true “ @ZodiacFacts : A #Virgo is very irritated by people in general . They need a lot of personal space or they will treat you with disdain . ”
135002419372367872	314	355	255			Sleeping beauty like princess ~
135385875520552961	315					I hate MSU !! Hawwwwwwwks !!
135855494832193536	316	353	253			RT @GryffindorAngie : @GeorgeWeasley_ read this !!! http://t.co/Qn5tk3vF
136182378157719552	317	356	256			RT @FayePalmerNews : Exclusive picture of @FayePalmer_BB and Jay's mum Sue ! http://t.co/rJHLPRrj
136234831712485376	318	354	254			BUT WHO IS BUYING ?????????????????????????????????????????????????????
136916473510756352	319					@WaltBabyLove504 they not using IDs ! Its a classic , gotta buy ticket =(
137267159234646016	320					RT @MensHumor : In my will , I'm going to demand that one of my friends show up to the funeral in the Scream costume and not say a word .
137631501750767617	321	72	72			@Zoe_Titmuss yeh i have no idea but i cant wait xx
137801547093512192	322	73	73			Goodnight
138371355937734656	323	74	74			3-0 !! Phew !!! Good no TD !!! Go job D !!! #birdgang
138665183441731585	324	75	75			@savanastang there are more #creatures in donny's room in today too bad you missed them :)
138839150609698817	325	76	76			Without gratuitous sex , we would be no better than animals
139404836755091456	326					RT @MovemberUK : Quite , quite extraordinary #movember effort : http://t.co/cE8LwhBg via @twitpic
139758114307186688	327	77	77			Is today thanks giving ? : L
140069994632454144	328	78	78			PEOPLE OF THE INTERNET ! The Prince doco is on at 9PM on BBC4 , and then Purple Rain is on at 10PM . Apologies for earlier incorrect timings .
140390401516384256	329	395	295			RT @QuotesGeek : Always have your stuff when you need it with @Dropbox . 2GB account is free ! http://t.co/clhZfz0w
140927733831184384	330					@MysWilliams damn sis ! lol u bold as hell for dat !
141011254855729153	331	396	296			That moment when someone tells you that you and him would look good together . ♥
141662663892676608	332	397	297			RT @JasonKennedy1 : I'm sitting down with Gaga for an in depth intv 2day , got ? ' s -> RT @ladygaga : The " Marry The Night " Video will prem ...
141696541235752960	333	398	298			“ @TeamBekka : I just voted for Ian Somerhalder #tvdramaactor #PeoplesChoice . Retweet to vote http://t.co/Q0KjpsL9 via @peopleschoice ”
142083965195534337	334					@alexvitlin Donald Rumsfeld . Look what that did to the world .
142452795365265408	335	399	299			Goodnight everyone ... <33 ://
142965322360684546	336	400	300			[ POST ] Spammy’s 12 Days of Xmas : Day 2 – Burning the Tool Log http://t.co/PdNKL8qF
143415681512243200	337	375	275			@WWE doesn't change anything if it's a " best seller . " IE @JohnCena and the WWE Title . Most businesses reinvest their profits into NEW things
143540978094063616	338	376	276			No Test for me , tomar :)
144120513592176640	339	377	277			My hustle is perpetual that means it never stops moving
144277841771630592	340					O RT @Fatt_Stacks : L RT @YSLaurenT_ : Doesn't look like any QT tonight . 4 days 7 hrs and 11mins 😔
144639420249804800	341	378	278			All our dreams can come true , if we have the courage to pursue them . -- Walt Disney
144955628585091072	342	379	279			Fuck what he wants .. He's dead to the world now .. I want !
145386702708539393	343	380	280			http://t.co/n7fLWISR How to Talk to a Widow
145920771653505024	344	381	281			RT @safff_ « @SCREAM_MICHine @Elijah_R cuffin in the avi , Gimme $20 »
146297537559658498	345					RT @Comedyscreen : Black List 2011 : The Top 10 hottest scripts in Hollywood http://t.co/pBoscUdg
146562563033923584	346					How To Lose Weight Quick After Pregnancy http://t.co/uvSH8Vxf
146785687386075137	347					Family Feud Decades trophy list http://t.co/7VDrYVlb
147204304036577280	348	322	222			Freaks come out at night .
147560706672300032	349	323	223			Irritating bunch of china people on the bus . -.-
148080943310184448	350					Pictures of me turn me on , is that wrong . ?
148548431697297409	351					@laurentt_ When you going next ? :) Xxxx
148698906732138496	352					@Princsella what bit are you on atm
149273102881271808	353	37	37			@BrionyBea hehee , thankyou :D awh lmao :) xxx
149624845448122368	354	45	45			@JanetteAhylin did u get that janette !? " prefection rhymes with one direction " Not Janette Gonzalez . ~ Lol
149704759559983104	355	38	38			time to start living like just before we die
150009299438026754	356	39	39			Purchase your seats to see the Patriots here http://t.co/RjivbHCp
150439178151268352	357	46	46			@BlowMeAway117 No , there are more extensive steps there . Try them all , in order . ^PS
151088418275856384	358	40	40			@mashalmatere @NjoodM @WaleedAlsaggaf @Sa7i_Elbal and some others unfollowed me [ checked by http://t.co/EwYj9xGI ]
151393700902223872	359	41	41			@AdorableJustinB CONGRATS !!! FREDO NOTICED YOU !! please help me get noticed . :P
151647431027732480	360	94	94			@mii_YoYo You Suppose To Say Good'Morning LOVE ♥
151950385676943360	361	95	95			I want a unicorn . #NOHOMO
152393962571829248	362	112	112			Another push to allow guns on college campuses : The upcoming legislative session will see a push by pro-gun ... http://t.co/QFzgmXOm
152820674539425792	363	96	96			@igctrance wow ! O.o
153223558133321728	364	97	97			your voice made my new year ♥
153276356334075904	365	98	98			Nobody cares about watch did in 2011 !
153902062567030784	366	99	99			@ScarletAblettx #YNWA best wishes at this sad time
154058522525581313	367	113	113			RT @O_KayKayy : That awkward moment when you realize that you probably shouldn't have told somebody something ...
154430817463050240	368	324	224			Super Bowl Countdown : http://t.co/ZuVEYdYm
154778223127953408	369	325	225			RT @FRIENDSHlP : Friendship is love without kissing ...
155475622548873216	371					RT @Restaurant_Ebok : Gas Fitter and Central Heating Engineer Business Plan
156071067130142720	372					RT @iSwiftGeeks : @BieberEpicc AHHHHHHHHHHHHHH !! Please do me a favor and POST CHAPTER 15 .
156168706429427715	373					@bamfnicole haha I didn't see that response before the direct message and thought it was public . Fail ;( but haha okayy !
156852042202218497	374					RT @kameronwhalum : " I do it for my folk who genuinely want me to win "
156928999384285184	375					@Heather37323 Bryan and I saw you on TV !
157319145099235329	376	102	102			" We can’t command our love , but we can our actions " - Sir Arthur Connan Doyle http://t.co/4ZN1gCjH #NOOK
157862689148895233	377	103	103			First time on hear and don't have a clue wot to do lol xxx
158163878071631873	378	104	104			I Feel Gud ... ..
158657522222383104	379	105	105			@Bella_Bijou Kmsl . Leave Anna out . of this . God Ima have to hear about this all week huh
158803102630293505	380	106	106			@TuRbii Yes . I'm also gong to Eastside's pre-show rehearsal , and trying to go to yours as well . #TeamDiddleHype #ReppinHomeTeams
159130035926745088	381	107	107			@HollieRicard yaaay ! ^.^
159500724156375040	382	108	108			Someone was just questioning how I would look pregnant ... and asked if I would lose the weight after having the baby ... I said hell yea !
160095136762707968	383	109	109			I gotta make my way to the sprint store n I really don't wana go outside ima try to get moms to give me a ride lol
160240888965103617	384					“ @WTFCrazyFacts : The average human experiences about 70,000 thoughts a day . ” I must be fucking stupid cuz I just think about one thing :
160555277098287104	385	110	110			RT @Jaytit : Bored as fuck
161125329325395968	386	22	22			I wish you had a fone so we can talk !
161578574174896128	387					" The Playbook " FUNNIEST EPISODE EVERRRR hahahahah
161874671158042625	388					Oh god who is this and why did he follow me ? I'm not funny or anything like that
161970485620514818	389					Sergio Ramos calls for end to Real Madrid ' mole ' talk as Iker Casillas is accused of leaking his team-mate's argument with Jose Mourinho
162358190447673344	390					@MakeupD0ll im 16 and i love makeup . i want to start a twitter account with my art and tutorials . how do i get started ?
162882654457438209	391					OK , East Haven : There are 9 contenders for the Academy Award in the Best Picture category . What's your pick ? http://t.co/LsYEWQLv
163393260604235777	392	47	47			Stupid Kilkenny didn't get to meet @Royseven :/
163660299315052544	393	48	48			RT @GodlyTweet : This is the day the Lord has made , I will rejoice and be glad in it :)
164049899774685185	394	49	49			Cut my hair , gag and bore me
164237527874678784	395					Wah my mum damn stalker sia i need to private my tweets
164537223709069312	396	50	50			I love My sister and her slowness lolol
164959275234508802	397					Watch Mobbed Season 1 Episode 5 Episode 5 No Survey Channel online HD ... http://t.co/2mRPFMjt
165226704049160192	398					Hapy b'day purple egg ^^ @GaemGyu
165836698780041217	399	51	51			@asya269 Follow @hardiksco .. He has awesome quotes and Your end up with wow .. :-) Follow him if you like his tweets ..
166212935939665920	400	23	23			#YouNotBlackIf You haven't made a friday joke ( Yeen gotta lie craig ! )
166408508126932992	401	52	52			RT @ILoveThem4s : @HelloMrNiNO hang in there cousin love you
166759906815377408	402	25	25			My definition of a hot date includes a delicious cup of tea , a really good book and cuddling by myself in the couch .
167072189697368065	403					not knowing what to do <<<<<
167460670189740032	404	26	26			@Korentine_ Omg Luke you need to watch remember me . I literally was balling . You'd love it .
168187320837742592	406	27	27			RT @LoveDrGuadalupe : I feel like a bum , I look like a bum , I smell like a bum , I am hungry like a bum . I am just a fucking bum .
168678696008429568	407	28	28			@GavenAng LOL where got ??
169096012730863617	408	29	29			jeronimo ft stay-c _ I am no superman #np
169277709896261635	409	53	53			Former Villarreal and Panathinaikos boss Victor Munoz set for Al Ittihad post http://t.co/d9SN0ieQ
169798281747103745	410					Serge : moe imma mf'n #crank Geo : yo azz ah goofy !!.... Geo and serge fight fa 2 mins ... That be the funniest ever
170144215429431297	411	54	54			RT @MAMIfrom_PR : “ @Loves_BEE : #oomf Is a liar , kaylee knows who Im talking about ” a lot of yur followers r liars ! Lol
170382472553578496	412	55	55			Fuck 
170689462207119361	413	56	56			RT @JuicyJennaa : @Dame_O_DewBaby aite bruh bruh I got you foue
171298244377325569	414	57	57			Owning Your Craft in the Fitness Business - http://t.co/hTizU4q9 #Fitness BodyBuilding #Professionals #Vancouver
171672850539884544	415	58	58			@HDstateofMind wat channle
172069275190820864	416	312	212			RT @MISSMYA : " It always seems impossible until it's done . " - Nelson Mandela
172318718825734144	417	313	213			@DAPtheGreat THANK YOU !!!!
172511505428922369	418	314	214			Someone isn't replyIng back ! @kendall_trigga
172878792359030786	419	315	215			Feelin like poop ..
173434768610967552	420	316	216			@room_downstairs where did you ask ? We are very prompt with replies . If you want to DM your name or email we can check right now .
173816576003407872	421	317	217			RT @ohgirlphrase : When I see you , I smile . When you smile back , my heart smiles ♥
174516361832316928	423	318	218			RT @kirkfranklin : The word teaches us to turn the other cheek ; but it doesn't teach you to confuse meek for weak . You're Christian ... not ...
174972891014762496	424	319	219			How`s ready for summer ?? :) i`am defently !
175296179620429824	425	320	220			@KarenAlloy that how long my pubes are ? I'm gonna go trim them too !
175658978628472833	426					RT @mizs_santucci : RT @CAPO_BELLE : Blood Makes You Related . Loyalty Makes You Family .
176017427946156033	427					IKR ! RT " @YourFavEmirati : " Battery too low for radio use " Ok great , so why are you still on ? "
177466819957886976	431					#StopKony I've read about it . #Supporting
177684399402401794	432	80	80			@MaliiBo @_tee_aanal miss y'all too just gonna leave me out the damn convo dicks lol
177974804824064000	433	79	79			I didn't even know what the changes were ... oh well .
178615233131192321	434	85	85			RT @VINNYGUADAGNINO : There's a valuable lessen to be learned here kids . When things get rough ... .. buy a stripper pole #Jerzathon
179039310765490176	436	81	81			Why aren't I tired ? -_-
179390814252830722	437	82	82			First serious attack by Philadelphia , but the Timbers D got the ball out .
180016260703207424	438					How I describe the perfect couple : Actor , Tall , Singer , Awkward , Streisand Worshiper , Canadian , New Yorker , Drummer , Person
180745130083483648	440	83	83			RT @ieatpussy4pizza : @Allan_oVo got them black girl groupies though
181104988414689280	441	84	84			Yea * fist pumps * mhmm
181317400803815424	442	3	3			Happy Mothers Day ! #bigmummalove
181577292533870595	443	4	4			Fuck you mode right now .
182030218578509824	444	5	5			@georgiameramo how was paris !? Xx
182277397289254912	445	6	6			Wish I was at odd future rn 
182865598148116481	446	7	7			Where tf is nick
182985903197790210	447					Im prepared , but wait for eran's RT @lalafadilaa finally done with my outline .. the rest it's your turn gaes @windwnda n @abcderan :)
183598682829094913	448	365	265			Fucking bitches all the time i give em Dick im on dey mind i got angels demons constantine
183846150791630848	449	366	266			@Reybot 10th ... that random chicks nasty ass breath :-)
184707983907897347	451	367	267			RT @Yo_Gurl_On_Fire : I blow supplies up in the air sometimes saying ayoo take that Cato
184904130454753280	452	368	268			@MrsAlyBieber If u want some FUNNY & TRUE quotes on your timeline then u should follow » @AnilGujaraTi « He'll have u laughing all day !
185165792139149313	453	369	269			@Bitch3sLoveM3 ive been fine .. could be better lol [:
185841444198678530	454	370	270			@PamalaSharpe lmao I'm not a sheep who listens to it cos everyone else does , its generally shit :(
186175679690326016	455	371	271			DAMMIT TENTEN !!! Can't you just let a ninja pee in peace ??!!?!?!?!? http://t.co/lz8Y9iUv
186597933087592448	456	401	301			RT @jdbieber_ftw : he looks so crushed lmao http://t.co/4BwoGzfk
186639926291468290	457	373	273			Whenn i seee uglyy boys that i think is cutee , i bee likee mhmmmm he isss cuteeeee . && my momma holla out ion kno wth yu looking at lol
187019309745319936	458	402	302			Ty Beanie Babies - Set of 2 Beanies ( Dora & Boots ): TY Beanie Babies Set of 2- Dora the Explorer and Boots http://t.co/c90SAqaR
187369374762549248	459	403	303			Griners a boss
188030992328572928	460	404	304			Home sweet home :)
188374610620846080	461	405	305			Wanna see Wrath of the Titans so bad !
188718191399276544	462	406	306			I had my old Bitch go bck 2 School 2 get her Masters ...
188830166838026241	463	407	307			This tweet is to get me off of 666 tweets ... Eat it Satan ! Jesus is alive and you lose !!!
189470565852127232	464	382	282			@BeyonceFan1981 I'm allergic and they taste horrible
189776129308106752	465	408	308			Yeah you love him , but just stop .
192310847723409409	472	349	249			I need to stop being so realistic !! #being a dreamer once in a while is such a blessing some times
192849769549406209	474	351	251			RT @iBeenHadSOLE : Thats why Jamie IS THAT NIGGA ! Lol
193461022214987777	475	352	252			@iGot_Charisma13 you wont ?
194552682147610625	478					Try cooking chili in it RT @Mr_UnLadyLike : this wind is serious
195160084467298305	480					!!!!! " @GetzWat_I_Want : #YourSexIsWEAK If I fall asleep during it ... Nigga get off me !!!!!!! "
195606060520849408	481	350	250			Apple Now Accepting Design Award Nominations – PC Magazine http://t.co/JBpgnboS
195840736040726528	482					we were like " damm who is that .. Shorty bad ! " ctfu
196102314099089409	483					Had 3 cans of Pepsi ! I was thirst af
196481244236742656	484	383	283			I'm in and out the pussy #DriveThru !!!
197020505906225152	485	384	284			Watch : Rihannas new music video : http://t.co/sUxePfXO
197458760241922048	486	385	285			Biscuit dry as hell >.<
197901926338281472	488	68	68			RT @3xOscar : Fucking @MargaritaAlexis is louder than an group of barking dogs .
198484603248451584	489	386	286			“ @Iamyungsmilez BLUEROOM MAY 19TH FEMS FREE AND DRINK FREE TIL 11:30 $5 ALL NIGHT BEHIND WINN DIXIE ON PINEHILLS ROAD LEGGOOO ”
198650362155110401	490					I'm mad he wants some of my eggrolls I just spent $2.50 on them
198962334272724992	491					RT @BrunoMars : Thugs don't say that shit cray ... . Thugs say That's so Raven
199289012035395586	492					Follow us on :: By Gregg Keizer , Computerworld A Windows developer , upset at the likely demise of Windows Live Wr ... http://t.co/u3kcE57c
199749110377623554	493	70	70			Nigguhs Heard Im Gettin Money So Now Dey Creepin Thru ..
200195120056893441	494	71	71			Making #Travel a Reality http://t.co/r4IWjn4B @DenverEric #yakezie #lifestyle #budget #travelhacking
200662378034114560	495					: ' -D face that grinds RT @Retro__O : Ladies- @vandalSwagg gives ruff-rider head .
200780959442944001	496					RT @AutumnNicoleeee : I don't need no hoes , bitches , niggas , freaks , sidelines , as long as I got Y O U <3
201362738868518912	497					@theSilentTruth1 Amen , Hallelujah thank You Jesus ! :)
201703567944462336	498	67	67			Photoset : http://t.co/ADWfZJvy
202093273219743744	499					@carolin_chrissy thanks darling . I don't even wear red bottoms because heels too high and I'm already tall but those I needed to have .
202191549768024064	500					RT @JaaChambers225 : Lil B verse on Sorry 4 The Wait mixtape #WorstRapLineEver
202828614239137792	501					#COUVERTURENOIRE ( Black Cover ) Fiction&NonFiction Stories Collection | Indonesian | Rp 33.700 , - | http://t.co/KDGa0gT1 http://t.co/6HfbQtLu
202923577610207234	502					RT @KPegula : Tyler Ennis and his broken stick . Can't say it's gunna be as popular as the Gerbe video though http://t.co/cDvwsP59
203618326545563649	503					Nice to who ? RT @sillyspike : @mississippi10 you know @LanitaD rode the bus with us . She was witness to me being nice on the bus .
203861331907059712	504	119	119			#YouGotTheWrongDavid IT'S T-E-N-N-A-N-T , NOT BECKHAM !
204062054418620416	505					bt I hate bein sick even more
204433057367867392	506	120	120			. Step Brothers #Lol
205073116714643459	507					@Zakk_Miller just not my cup of tea
205163470117810177	508					Eight Girls Pull Best Yearbook Prank Ever http://t.co/H5Sv0zyK
205498985023160321	509					The whistle he had going on ... <<<<<<<<<<<<<<<<<
206038590923350017	510	121	121			Tour ready . http://t.co/S2m5C80J
206174939089338371	511					@Tj_Slab19 Like I said " got me fucked up " that ain't true about em all
206703094430568449	512	9	9			@senorsarita What's that !
207169085547614208	513	10	10			RT @jrockfor3 : About to crush this Denny's!!!!!!
207263667253809152	514	11	11			RT @marleemou : @JohnsHNIC I'll literally be there at 7:07 . :D
207679327054200832	515	12	12			stunt devils ..
208054939321253889	516	13	13			@_MyHipsDontLie_ You would have had 1,987,001 followers if you did <3 lol
208625968640831488	517	14	14			@ZachVall @daniellecroce nah we thought of it a few days ago
208785948044034048	518	15	15			@ObeyNell she looks like it pacin ' back & forth lol
209136444881641472	519	16	16			My lady on her Marilyn http://t.co/QZgFaK84
209735811053260803	520	17	17			RT @MadeaSimmons_ : I hate ppl that say " He's a nice person once you get to know him " They might as well just say " He's a jerk , but you ' ...
209864656049815553	521	122	122			Tessa really stole all then people's food .
210454303733850112	522	123	123			I'm saving gas today
210765332145647617	523					FINN IS SLOWLY KILLING ME AH YAWAA
211485875870253056	525					I wonder how much isit original vans t-shirt $42 when there's a sale ?? $20 ? :D
211785915587239936	526	124	124			20 DAYS LEFT TILL LONDON <3
212305090776809472	527	125	125			RT @xBiebers_Worldx : RT for a shoutout ♥
212601476869128192	528	409	309			@GalacticLacquer is having a giveaway ! http://t.co/vwtGvNl5 http://t.co/vwtGvNl5
212745765112647682	529	410	310			@MelCardillo weird cause your not doin either ..
21294091501314048		127	127			Daaammmnn . Florida got too many tolls .. Coach comin outta pocket every 5 mins -__-
213105619715104769	530	411	311			Blu Cantrell just came on my Destiny's Child Pandora . See what happens when you leave the door open ? Getcho ass out !!!
213484067600089088	531	412	312			@1SmartiePants when have u ever said yes ... ?
214003490102587396	532	413	313			Rihanna changed her all style she was nothing like she is now
214474418385190912	533	414	314			all i , wanna hear u say is r u mineeeee
214748532941398017	534	415	315			@DomsWildThings OOooo you made my head spin with that one ! You are such a cheeky studmuffin !
215046424797253632	535	416	316			@Rhe_says lyod and Wayne - you that was bigggg !
215500332296445952	536	417	317			Tumbling Today
215778607673511936	537	418	318			June 21 * sigh *
21605694587281408	1	128	128			RT @TheBlissfulChef : Just heard vegetables will be the new meat in 2011 . Woot Woot !
21791619837595649	2	129	129			Whew ... Thinking did u smile @ me ealier ... U were so bsy on the phone lol RT @jadorelexy : I dont smile with too many woman they be phony
22427879216250880	3	130	130			RT @colindobson : Check out http://bit.ly/e5hSx0 . Freezing my nads in the snow , naked for #MND Charity . £4.5 k raised so far . Please RT ! Thx .
22695647643705344	4	131	131			@TieALitleRibbon I think I cut like , 6-8 inches . It's nice , but I miss my big ponytail !
23101069101895681	5	132	132			Found the scarriest mystery door in my school . I'M SO CURIOUS D:
23400093394665474	6					Ytf all these cops out .. damn !!
23790436220936192	7	133	133			Bridalplasty ! Love this showww .
23913052789276673	8	134	134			How about girls who don't know how to walk in heels don't walk in heels #justsaying
24332575560437760	9	135	135			January 16 , 2011 @sam_concepcion will be in SM , Cebu !!!!!
24705092540170242	10	136	136			I think I'm a wait an hour or 2 & THEN tweet @sinittaofficial ...
25244937167568896	11	137	137			ADD ME ON FACEBOOK (( http://www.facebook.com/DJBolt1 )) x2
25688648359874560	12	138	138			2pac was not a " rapper " he was so much more than that . He was a Revolutionary . A misunderstood-Revolutionary
26042601522073600	13	139	139			@ninbroken52 LoL Looks like I hit the nail n the head with that one . ;-P
26085492428636161	14	140	140			RT @TorontoStar : Berlusconi probed over cash-for-sex case : Prime Minister Silvio Berlusconi faces investigation in a prostitution ... htt ...
26484236454199296	15	141	141			Bad loss for the Bison men tonight at Western Illinois , against a team that got blown out by SDSU on Thursday and was 1-5 in the Summit .
27051600186966017	16					RT @lgrthanlife : @Lex_fromBLISS get ready for our Wednesday workout ! We are about to go #HAM !
27221909720530944	17					@justinbieber good night <3 I Love You :)
28139103509815297	18	142	142			i just orgasmed over this http://dreamofgaga.com/2011/01/20/born-this-way-remix-made-by-lady-gaga-herself-is-out/
28569472516235264	19	143	143			RT @Mrweedsmoker03 ON some real ass shit ... if you DL ... #goneon its 2011 ... there is no such thing ... SMFH| #nothingbutthetruth
28689844909645826	20	144	144			@SiaoOne it is Google maps , but I don't think it was a prank , it's just the normal kind of thing that happens in Germany
28841420096	247	455	355			@LilBrownD @kiaspeaks Glue our lips together with that black gunk !
28841421515	221					@BelletheQUEEN eh , idk ... I think I could do it , but to actually GET there , u hafta be a groupie .. unless leBron walks through my front door
28841445644	17	572	472			@BettyMcSweets that hurts !
28841447123	316	597	497			I need to go home man . Got some thangs I wanna try . Lol .
28841451917	336	910	698			I just took " ALL PARTS SO FAR TO : U Have An A ..." and got : part 7 - You Can't Always Get What You Want ! Try it : http://tinyurl.com/23sja9u
